id,name,type,stock_code,market,description,source
company_600176_sh,中国巨石,company,600176.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002080_sz,中材科技,company,002080.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603601_sh,再升科技,company,603601.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603256_sh,宏和科技,company,603256.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_605006_sh,山东玻纤,company,605006.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002201_sz,正威新材,company,002201.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300196_sz,长海股份,company,300196.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300936_sz,中英科技,company,300936.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603186_sh,华正新材,company,603186.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688519_sh,南亚新材,company,688519.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600183_sh,生益科技,company,600183.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002636_sz,金安国纪,company,002636.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301150_sz,中一科技,company,301150.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688388_sh,嘉元科技,company,688388.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301511_sz,德福科技,company,301511.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600110_sh,诺德股份,company,600110.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301217_sz,铜冠铜箔,company,301217.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688019_sh,安集科技,company,688019.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300054_sz,鼎龙股份,company,300054.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300236_sz,上海新阳,company,300236.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300346_sz,南大光电,company,300346.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300576_sz,容大感光,company,300576.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300537_sz,广信材料,company,300537.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300429_sz,强力新材,company,300429.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603650_sh,彤程新材,company,603650.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300721_sz,怡达股份,company,300721.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300637_sz,扬帆新材,company,300637.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300655_sz,晶瑞电材,company,300655.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300398_sz,飞凯材料,company,300398.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301286_sz,侨源股份,company,301286.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002549_sz,凯美特气,company,002549.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688268_sh,华特气体,company,688268.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300971_sz,和远气体,company,300971.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600378_sh,昊华科技,company,600378.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688106_sh,金宏气体,company,688106.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002409_sz,雅克科技,company,002409.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002129_sz,TCL中环,company,002129.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_003026_sz,中晶科技,company,003026.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688432_sh,有研硅,company,688432.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688126_sh,沪硅产业,company,688126.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688233_sh,神工股份,company,688233.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_605358_sh,立昂微,company,605358.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600206_sh,有研新材,company,600206.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300666_sz,江丰电子,company,300666.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300706_sz,阿石创,company,300706.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300263_sz,隆华科技,company,300263.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002338_sz,奥普光电,company,002338.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600895_sh,张江高科,company,600895.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688010_sh,福光股份,company,688010.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002222_sz,福晶科技,company,002222.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688376_sh,美埃科技,company,688376.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300331_sz,苏大维格,company,300331.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688502_sh,茂莱光学,company,688502.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688012_sh,中微公司,company,688012.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002371_sz,北方华创,company,002371.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688037_sh,芯源微,company,688037.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688361_sh,中科飞测,company,688361.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688003_sh,天准科技,company,688003.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300567_sz,精测电子,company,300567.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603283_sh,赛腾股份,company,603283.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688082_sh,盛美上海,company,688082.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603690_sh,至纯科技,company,603690.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688147_sh,微导纳米,company,688147.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688072_sh,拓荆科技,company,688072.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002436_sz,兴森科技,company,002436.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603936_sh,博敏电子,company,603936.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002916_sz,深南电路,company,002916.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688535_sh,华海诚科,company,688535.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688733_sh,壹石通,company,688733.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688035_sh,德邦科技,company,688035.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688300_sh,联瑞新材,company,688300.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688385_sh,复旦微电,company,688385.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688107_sh,安路科技,company,688107.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688256_sh,寒武纪,company,688256.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688416_sh,恒烁股份,company,688416.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300474_sz,景嘉微,company,300474.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688041_sh,海光信息,company,688041.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300053_sz,航宇微,company,300053.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688047_sh,龙芯中科,company,688047.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688110_sh,东芯股份,company,688110.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688525_sh,佰维存储,company,688525.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603986_sh,兆易创新,company,603986.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300223_sz,北京君正,company,300223.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002213_sz,大为股份,company,002213.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_001309_sz,德明利,company,001309.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688766_sh,普冉股份,company,688766.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300042_sz,朗科科技,company,300042.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301308_sz,江波龙,company,301308.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603920_sh,世运电路,company,603920.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002384_sz,东山精密,company,002384.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603328_sh,依顿电子,company,603328.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002134_sz,天津普林,company,002134.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002913_sz,奥士康,company,002913.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002815_sz,崇达技术,company,002815.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600601_sh,方正科技,company,600601.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603228_sh,景旺电子,company,603228.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300964_sz,本川智能,company,300964.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002463_sz,沪电股份,company,002463.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301132_sz,满坤科技,company,301132.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688183_sh,生益电子,company,688183.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300903_sz,科翔股份,company,300903.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300476_sz,胜宏科技,company,300476.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688655_sh,迅捷兴,company,688655.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603386_sh,骏亚科技,company,603386.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002938_sz,鹏鼎控股,company,002938.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300308_sz,中际旭创,company,300308.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002281_sz,光迅科技,company,002281.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603083_sh,剑桥科技,company,603083.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_000988_sz,华工科技,company,000988.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300548_sz,博创科技,company,300548.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300394_sz,天孚通信,company,300394.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300570_sz,太辰光,company,300570.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688205_sh,德科立,company,688205.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300502_sz,新易盛,company,300502.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_301205_sz,联特科技,company,301205.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688195_sh,腾景科技,company,688195.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002792_sz,通宇通讯,company,002792.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002902_sz,铭普光磁,company,002902.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688313_sh,仕佳光子,company,688313.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600105_sh,永鼎股份,company,600105.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_000921_sz,海信家电,company,000921.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688498_sh,源杰科技,company,688498.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_688048_sh,长光华芯,company,688048.SH,科创板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600522_sh,中天科技,company,600522.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600487_sh,亨通光电,company,600487.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300757_sz,罗博特科,company,300757.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_000066_sz,中国长城,company,000066.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603019_sh,中科曙光,company,603019.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_300857_sz,协创数据,company,300857.SZ,创业板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600100_sh,同方股份,company,600100.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600839_sh,四川长虹,company,600839.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_600449_sh,宁夏建材,company,600449.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_601138_sh,工业富联,company,601138.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_002152_sz,广电运通,company,002152.SZ,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
company_603496_sh,恒为科技,company,603496.SH,主板,A股上市公司,AI细分行业相关标的（A股）.xlsx
